# net/minecraft/block/Block
func_71846_a,func_149681_a
func_73736_c,func_146116_c
func_73737_a,func_146112_a
func_73738_a,func_146114_a
func_73739_b,func_146119_b
func_73740_a,func_146118_a
func_82251_b,func_146111_b
func_82252_a,func_146115_a
# net/minecraft/client/gui/GuiScreen
func_73859_b,func_146270_b
func_73860_n,func_146282_l
func_73861_o,func_146271_m
func_73862_m,func_146269_k
func_73865_d,func_146275_d
func_73867_d,func_146274_d
func_73870_l,func_146277_j
func_73871_c,func_146278_c
func_73872_a,func_146280_a
func_73873_v_,func_146276_q_
func_73874_b,func_146281_b
func_73875_a,func_146284_a
func_73877_p,func_146272_n
func_85041_a,func_146273_a
# net/minecraft/client/gui/GuiTextField
func_73777_b,func_146175_b
func_73778_q,func_146176_q
func_73779_a,func_146177_a
func_73780_a,func_146178_a
func_73781_b,func_146179_b
func_73782_a,func_146180_a
func_73783_i,func_146181_i
func_73784_d,func_146182_d
func_73785_a,func_146183_a
func_73786_a,func_146185_a
func_73787_n,func_146186_n
func_73788_c,func_146187_c
func_73789_c,func_146188_c
func_73790_e,func_146189_e
func_73791_e,func_146190_e
func_73792_b,func_146191_b
func_73793_a,func_146192_a
func_73794_g,func_146193_g
func_73795_f,func_146194_f
func_73796_b,func_146195_b
func_73797_d,func_146196_d
func_73798_a,func_146197_a
func_73799_h,func_146198_h
func_73800_i,func_146199_i
func_73801_o,func_146200_o
func_73802_a,func_146201_a
func_73803_e,func_146202_e
func_73804_f,func_146203_f
func_73805_d,func_146205_d
func_73806_l,func_146206_l
func_73807_c,func_146207_c
func_73808_g,func_146208_g
func_82265_c,func_146184_c
func_82266_h,func_146204_h
# net/minecraft/client/renderer/RenderBlocks
func_78570_q,func_147784_q
func_78573_e,func_147798_e
func_78581_r,func_147742_r
func_78597_b,func_147739_a
func_78600_a,func_147800_a
func_78605_f,func_147764_f
func_78611_c,func_147761_c
func_78613_a,func_147768_a
func_78617_b,func_147806_b
func_78622_d,func_147734_d
func_83020_a,func_147782_a
func_96445_r,func_147779_s
# net/minecraft/client/renderer/tileentity/TileEntitySpecialRenderer
renderTileEntityAt,func_147500_a
# net/minecraft/inventory/IInventory
func_70303_b,func_145825_b
func_94042_c,func_145818_k_
# net/minecraft/tileentity/TileEntity
func_70306_a,func_145826_a
func_70307_a,func_145839_a
func_70308_a,func_145834_a
func_70309_m,func_145830_o
func_70310_b,func_145841_b
func_70311_o,func_145838_q
func_70312_q,func_145829_t
func_70313_j,func_145843_s
func_70314_l,func_145831_w
func_70315_b,func_145842_c
func_70316_g,func_145845_h
func_70317_c,func_145827_c
func_70318_a,func_145835_a
func_70320_p,func_145837_r
func_70321_h,func_145836_u
func_70322_n,func_145832_p
func_82115_m,func_145833_n
func_85027_a,func_145828_a
# net/minecraft/tileentity/TileEntityFurnace
func_70397_c,func_145953_d
func_70398_a,func_145952_a
func_70399_k,func_145949_j
func_70400_i,func_145950_i
func_70401_b,func_145954_b
func_70402_r,func_145948_k
func_70403_d,func_145955_e
# net/minecraft/world/IBlockAccess
func_72796_p,func_147438_o
func_72799_c,func_147437_c
# net/minecraft/world/World
func_72837_a,func_147455_a
func_72840_a,func_147461_a
func_72845_h,func_147471_g
func_72852_a,func_147448_a
func_72887_b,func_147445_c
func_72902_n,func_147479_m
func_72909_d,func_147458_c
func_72941_a,func_147467_a
func_72978_e,func_147470_e
func_85174_u,func_147469_q
func_94571_i,func_147468_f
func_94578_a,func_147480_a
